,base,recall100,noinfo
gpt3.5,0.17530098063524333,0.2179805168538297,0.20558738335797766
gpt4-mini,0.19993108098294515,0.21703917624179175,0.19781027970472714
vllm,0.1239777831456628,0.2251686577124926,0.1520336858985216
gpt3.5,0.24279456932320415,0.23924151045761682,0.19859341341839598
gpt4-mini,0.11931466579135774,0.22355377283368216,0.20566663722303458
vllm,0.13240398950287752,0.22387677757331093,0.1615582048724118
gpt3.5,0.17570227370245217,0.23692971497736126,0.20659506836235286
gpt4-mini,0.16020001840881082,0.21717719098221483,0.21939935994323806
vllm,0.15787802492004793,0.1645496245970573,0.16216036410326337
