,p,LR,KS,alpha,xmin,sigma,ex_name
truncated_power_law,0.7458327378805432,0.0525330730044633,0.0338376225539369,,,,fast_gpt3.5
lognormal,0.8175991612824648,0.0747592622905335,0.035260159610624,,,,fast_gpt3.5
lognormal_positive,0.0035288660942666,-16.161480069488398,0.0784842851128215,,,,fast_gpt3.5
stretched_exponential,0.0842158025506282,-3.709135012792925,0.0504605502266059,,,,fast_gpt3.5
exponential,1.4731044782053065e-06,-246.25893560727823,0.2431049043765552,,,,fast_gpt3.5
power_law,,,0.0176746726603043,2.5061743614293066,5.0,0.0587167898377933,fast_gpt3.5
truncated_power_law,0.5491179661732601,0.1794498353055535,0.0451898544414076,,,,fast_gpt3.5_2
lognormal,0.9127988733586112,0.0646766096778312,0.0477985463526432,,,,fast_gpt3.5_2
lognormal_positive,0.0514302348091385,-18.740889694076166,0.0777405601787131,,,,fast_gpt3.5_2
stretched_exponential,0.3017095069269445,-3.957224808706512,0.0489878865255531,,,,fast_gpt3.5_2
exponential,0.0103342167648302,-429.2759240691357,0.2850782558186559,,,,fast_gpt3.5_2
power_law,,,0.028158008116204,2.56442823871896,4.0,0.055908104152827,fast_gpt3.5_2
truncated_power_law,0.6242321252359777,0.1199819943465203,0.0288113825637083,,,,fast_vllm
lognormal,0.7531804154889291,0.2130022085755096,0.0315388678820003,,,,fast_vllm
lognormal_positive,0.1168520919628271,-9.348309265119395,0.0594208642729818,,,,fast_vllm
stretched_exponential,0.5633937263746656,-1.5291271088093836,0.0431218717045378,,,,fast_vllm
exponential,0.0018351676087243,-244.2691559741726,0.2180626284156764,,,,fast_vllm
power_law,,,0.0134588417732252,2.484157667478831,5.0,0.0550822573206424,fast_vllm
truncated_power_law,0.544593173701947,0.1835464435929115,0.0519710926216413,,,,fast_vllm_2
lognormal,0.979014110340993,0.016074213902792,0.0547686526153324,,,,fast_vllm_2
lognormal_positive,0.0176499820467481,-24.461390916780346,0.0853575998048277,,,,fast_vllm_2
stretched_exponential,0.1475921718807911,-6.100855057529687,0.0637857811639165,,,,fast_vllm_2
exponential,0.0066783235741961,-517.5576405440162,0.3224071878107009,,,,fast_vllm_2
power_law,,,0.0294146093969062,2.550244634077409,4.0,0.0539072877979753,fast_vllm_2
truncated_power_law,0.7158078895929963,0.0662724335758744,0.0318226993577748,,,,fast_gpt4-mini
lognormal,0.9749155807047772,0.0112244755347243,0.0338343243855155,,,,fast_gpt4-mini
lognormal_positive,0.0787637628625477,-13.339530402800223,0.0621555145756635,,,,fast_gpt4-mini
stretched_exponential,0.2870156171137064,-3.8508294883158296,0.0478110654230571,,,,fast_gpt4-mini
exponential,0.0156455899145033,-323.1906382841128,0.2554456490106891,,,,fast_gpt4-mini
power_law,,,0.0172079137934099,2.5950035343777227,5.0,0.0592778395173251,fast_gpt4-mini
truncated_power_law,0.8484484343952641,0.0182593155250698,0.0332889403470261,,,,fast_gpt4-mini_2
lognormal,0.9059608540239734,0.0225642744159848,0.0346164569535322,,,,fast_gpt4-mini_2
lognormal_positive,0.1000012771135417,-9.457162468605178,0.07271982513858,,,,fast_gpt4-mini_2
stretched_exponential,0.2738214389067757,-2.9846825272614383,0.0567905930227137,,,,fast_gpt4-mini_2
exponential,0.0097796940972346,-226.2295855723789,0.2703769679149574,,,,fast_gpt4-mini_2
power_law,,,0.0196969741468474,2.5448079982339955,6.0,0.0695746531130166,fast_gpt4-mini_2
