llm,task,config,gini_cite,gini_num,cpr,rps_core,rps_ph,rps_all,D,alpha
gpt3.5,llm_agent_1,search_shuffle_base_gpt3.5,0.32258064516129037,0.7026666666666667,1.0002477548425799,1.606144533742399,1.605746702220967,1.6059456179816831,0.08359777245091526,2.435693911834093
gpt3.5,llm_agent_1,search_shuffle_anonymous_gpt3.5,0.39289678135405104,0.6998095238095238,0.7482707505330319,1.7738470525168826,2.3705952040130924,2.0722211282649874,0.041528385704656,3.0860681989990812
gpt4-mini,llm_agent_1,search_shuffle_base_gpt4-mini,0.3338115734098518,0.6868235294117646,1.0103214036970176,2.19476274699885,2.172341137154639,2.183551942076744,0.10065349372409127,2.4264656567404073
gpt4-mini,llm_agent_1,search_shuffle_anonymous_gpt4-mini,0.27064220183486243,0.6903529411764706,1.1267895627675182,2.3681751351997535,2.1017013410944783,2.2349382381471163,0.11410015275941726,2.334324391565737
vllm,llm_agent_1,search_shuffle_anonymous_vllm,0.38390092879256965,0.7329411764705882,1.127550519667291,2.1371821929088046,1.8954203431518333,2.016301268030319,0.18441217289547007,2.087165330922372
qwen2,llm_agent_1,search_shuffle_base_qwen2,0.7421875,0.7585,1.0946191396707716,1.114619357653782,1.0182713943673831,1.0664453760105825,0.10401021517323317,2.3648035529425226
qwen2,llm_agent_1,search_shuffle_anonymous_qwen2,0.78125,0.7515294117647059,1.073249005237815,1.073249005237815,1.0,1.0366245026189076,0.11591286489503039,2.5166648156545413
gpt3.5,llm_agent_2,search_shuffle_base_gpt3.5,0.3101851851851851,0.7465457230249973,1.048200504035213,1.7191329503276034,1.6400802553610023,1.6796066028443033,0.07762666611342822,2.4240362161254136
gpt3.5,llm_agent_2,search_shuffle_anonymous_gpt3.5,0.30781893004115235,0.724,0.8207403939332638,1.654716289900417,2.016126295393432,1.8354212926469244,0.07182706804602895,2.6977060613058255
gpt4-mini,llm_agent_2,search_shuffle_base_gpt4-mini,0.25932835820895517,0.6759999999999999,0.7069144847088372,1.764425317035102,2.495952983283163,2.1301891501591323,0.11873077850297448,2.342283098105959
gpt4-mini,llm_agent_2,search_shuffle_anonymous_gpt4-mini,0.30856299212598426,0.6928888888888889,0.8445342030979571,1.8814159546480371,2.227755782710215,2.054585868679126,0.13889225077338252,2.3561007006346912
vllm,llm_agent_2,search_shuffle_base_vllm,0.2376811594202899,0.6952,0.8450933222028514,1.690804643875604,2.000731279556547,1.8457679617160754,0.03507131822197218,2.558536419931082
vllm,llm_agent_2,search_shuffle_anonymous_vllm,0.33362598770851615,0.7195294117647059,0.5065414713483781,1.8954051784052601,3.7418558708723757,2.818630524638818,0.16743156338462267,2.1156556397595887
qwen2,llm_agent_2,search_shuffle_base_qwen2,0.6303571428571428,0.6985,1.0162137248680703,1.0640046892091761,1.047028457864324,1.05551657353675,0.07571164660126861,2.350619374778204
qwen2,llm_agent_2,search_shuffle_anonymous_qwen2,0.7160714285714286,0.7215,1.1021422022368097,1.1021422022368097,1.0,1.0510711011184048,0.06308978407051802,2.4165722721850678
gpt3.5,llm_agent_3,search_shuffle_base_gpt3.5,0.315018315018315,0.68625,1.1890010133256534,2.0888858794512353,1.756841126323846,1.9228635028875405,0.06658794629676018,2.816356390821377
gpt3.5,llm_agent_3,search_shuffle_anonymous_gpt3.5,0.34065315315315314,0.6996521739130435,0.46409135809291757,1.7572938777782425,3.7865257500149525,2.771909813896598,0.0352407521615451,3.0830253328483925
gpt4-mini,llm_agent_3,search_shuffle_base_gpt4-mini,0.3128712871287128,0.7095301714540192,0.7727087106501889,1.8686967965276786,2.4183715943298743,2.1435341954287765,0.049870519984976824,2.6497623581306855
gpt4-mini,llm_agent_3,search_shuffle_anonymous_gpt4-mini,0.3448275862068966,0.6336470588235295,1.1081210099390275,2.4023282445609606,2.1679295158325216,2.2851288801967415,0.045369836043377076,2.826806279431492
vllm,llm_agent_3,search_shuffle_base_vllm,0.2285353535353536,0.6373333333333333,0.8283712980406286,2.727491238785297,3.292595053977261,3.0100431463812787,0.10956779532790176,2.306243770301096
vllm,llm_agent_3,search_shuffle_anonymous_vllm,0.3404175988068605,0.6688421052631579,0.711498231140423,2.55546982323752,3.591674176254089,3.0735719997458038,0.07568336070375958,2.4263768855612486
qwen2,llm_agent_3,search_shuffle_base_qwen2,0.6303571428571428,0.6985,1.0162137248680703,1.0640046892091761,1.047028457864324,1.05551657353675,0.07571164660126861,2.350619374778204
qwen2,llm_agent_3,search_shuffle_anonymous_qwen2,0.7455357142857143,0.7616470588235293,1.077640135505497,1.0841161766475405,1.0060094654316172,1.0450628210395787,0.14316823674735824,2.250324201735459
